number,position,positionText,points,grid,laps,status,driverId,constructorId,Time.millis,Time.time,FastestLap.rank,FastestLap.lap,FastestLap.Time.time,FastestLap.AverageSpeed.units,FastestLap.AverageSpeed.speed,season,round
16,5,5,10,4,56,Finished,leclerc,ferrari,5557626,+31.276,3,45,1:34.860,kph,206.869,2019,3
10,6,6,9,6,56,Finished,gasly,red_bull,5615657,+1:29.307,1,55,1:34.742,kph,207.126,2019,3
3,7,7,6,7,55,+1 Lap,ricciardo,renault,,,16,38,1:38.632,kph,198.957,2019,3
11,8,8,4,12,55,+1 Lap,perez,racing_point,,,17,37,1:38.702,kph,198.816,2019,3
7,9,9,2,13,55,+1 Lap,raikkonen,alfa,,,12,27,1:37.812,kph,200.625,2019,3
23,10,10,1,0,55,+1 Lap,albon,toro_rosso,,,18,22,1:38.901,kph,198.416,2019,3
8,11,11,0,10,55,+1 Lap,grosjean,haas,,,8,37,1:36.873,kph,202.570,2019,3
18,12,12,0,16,55,+1 Lap,stroll,racing_point,,,7,46,1:36.678,kph,202.978,2019,3
20,13,13,0,9,55,+1 Lap,kevin_magnussen,haas,,,10,35,1:37.471,kph,201.327,2019,3
55,14,14,0,14,55,+1 Lap,sainz,mclaren,,,11,44,1:37.502,kph,201.263,2019,3
99,15,15,0,19,55,+1 Lap,giovinazzi,alfa,,,14,32,1:38.048,kph,200.142,2019,3
63,16,16,0,17,54,+2 Laps,russell,williams,,,9,51,1:37.283,kph,201.716,2019,3
88,17,17,0,18,54,+2 Laps,kubica,williams,,,20,28,1:39.772,kph,196.684,2019,3
4,18,18,0,15,50,Collision,norris,mclaren,,,15,37,1:38.346,kph,199.536,2019,3
26,19,R,0,11,41,Collision,kvyat,toro_rosso,,,13,27,1:37.975,kph,200.291,2019,3
27,20,R,0,8,16,Power Unit,hulkenberg,renault,,,19,14,1:39.677,kph,196.871,2019,3
5,1,1,9,4,65,Finished,hulme,mclaren-ford,6848800,1:54:08.80,,,,,,1969,11
7,2,2,6,2,65,Finished,ickx,brabham-ford,6851360,+2.56,,,,,,1969,11
8,3,3,4,1,65,Finished,jack_brabham,brabham-ford,6887280,+38.48,,,,,,1969,11
3,4,4,3,3,65,Finished,stewart,matra-ford,6895840,+47.04,,,,,,1969,11
4,5,5,2,8,65,Finished,beltoise,matra-ford,6947320,+1:38.52,,,,,,1969,11
15,6,6,1,12,63,+2 Laps,oliver,brm,,,,,,,,1969,11
12,7,7,0,15,63,+2 Laps,rodriguez,ferrari,,,,,,,,1969,11
16,8,8,0,14,63,+2 Laps,gavin,matra-ford,,,,,,,,1969,11
21,9,9,0,16,62,+3 Laps,lovely,lotus-ford,,,,,,,,1969,11
18,10,10,0,9,61,+4 Laps,courage,brabham-ford,,,,,,,,1969,11
19,11,11,0,13,60,Fuel leak,moser,brabham-ford,,,,,,,,1969,11
14,12,R,0,10,53,Gearbox,surtees,brm,,,,,,,,1969,11
2,13,R,0,6,21,Suspension,rindt,lotus-ford,,,,,,,,1969,11
22,14,R,0,17,6,Gearbox,eaton,brm,,,,,,,,1969,11
10,15,R,0,5,4,Accident,siffert,lotus-ford,,,,,,,,1969,11
9,16,R,0,11,3,Fuel pump,miles,lotus-ford,,,,,,,,1969,11
6,17,W,0,7,0,Withdrew,mclaren,mclaren-ford,,,,,,,,1969,11
10,1,1,8,2,35,Finished,fangio,alfa,10046000,2:47:26.0,,,,,,1950,5
12,2,2,6,3,35,Finished,fagioli,alfa,10060000,+14.0,,,,,,1950,5
14,3,3,4,8,35,Finished,rosier,lago,10185000,+2:19.0,,,,,,1950,5
8,4,4,4,1,35,Finished,farina,alfa,10291000,+4:05.0,,,,,,1950,5
4,5,5,2,7,34,+1 Lap,ascari,ferrari,,,,,,,,1950,5
2,6,6,0,4,33,+2 Laps,villoresi,ferrari,,,,,,,,1950,5
22,7,7,0,10,33,+2 Laps,levegh,lago,,,,,,,,1950,5
24,8,8,0,14,22,+3 Laps,claes,lago,,,,,,,,1950,5
26,9,9,0,12,30,+5 Laps,crossley,alta,,,,,,,,1950,5
30,10,10,0,11,29,+6 Laps,branca,maserati,,,,,,,,1950,5
20,11,R,0,13,22,Oil pipe,chaboud,lago,,,,,,,,1950,5
6,12,R,0,5,20,Oil pressure,sommer,lago,,,,,,,,1950,5
16,13,R,0,6,15,Overheating,etancelin,lago,,,,,,,,1950,5
18,14,R,0,9,2,Oil pipe,cabantous,lago,,,,,,,,1950,5
1,1,1,10,1,62,Finished,michael_schumacher,ferrari,5292058,1:28:12.058,,,,,,2003,4
6,2,2,8,6,62,Finished,raikkonen,mclaren,5293940,+1.882,,,,,,2003,4
2,3,3,6,3,62,Finished,barrichello,ferrari,5294349,+2.291,,,,,,2003,4
4,4,4,5,2,62,Finished,ralf_schumacher,williams,5300861,+8.803,,,,,,2003,4
5,5,5,4,12,62,Finished,coulthard,mclaren,5301469,+9.411,,,,,,2003,4
8,6,6,3,8,62,Finished,alonso,renault,5335747,+43.689,,,,,,2003,4
3,7,7,2,4,62,Finished,montoya,williams,5337329,+45.271,,,,,,2003,4
17,8,8,1,9,61,+1 Lap,button,bar,,,,,,,,2003,4
20,9,9,0,10,61,+1 Lap,panis,toyota,,,,,,,,2003,4
9,10,10,0,11,61,+1 Lap,heidfeld,sauber,,,,,,,,2003,4
10,11,11,0,14,61,+1 Lap,frentzen,sauber,,,,,,,,2003,4
21,12,12,0,13,61,+1 Lap,matta,toyota,,,,,,,,2003,4
7,13,13,0,16,61,+1 Lap,trulli,renault,,,,,,,,2003,4
15,14,14,0,15,60,+2 Laps,pizzonia,jaguar,,,,,,,,2003,4
11,15,15,0,17,57,+5 Laps,fisichella,jordan,,,,,,,,2003,4
14,16,R,0,5,54,Driveshaft,webber,jaguar,,,,,,,,2003,4
12,17,R,0,19,51,Oil line,firman,jordan,,,,,,,,2003,4
19,18,R,0,20,38,Electrical,verstappen,minardi,,,,,,,,2003,4
18,19,R,0,18,23,Fuel rig,wilson,minardi,,,,,,,,2003,4
16,20,R,0,7,19,Engine,villeneuve,bar,,,,,,,,2003,4
27,1,1,9,2,54,Finished,jones,williams,5258010,1:27:38.01,,,,,,1979,11
12,2,2,6,5,54,Finished,gilles_villeneuve,ferrari,5294060,+36.05,,,,,,1979,11
26,3,3,4,8,54,Finished,laffite,ligier,5304780,+46.77,,,,,,1979,11
11,4,4,3,9,54,Finished,scheckter,ferrari,5305220,+47.21,,,,,,1979,11
28,5,5,2,6,54,Finished,regazzoni,williams,5306930,+48.92,,,,,,1979,11
16,6,6,1,1,53,+1 Lap,arnoux,renault,,,,,,,,1979,11
3,7,7,0,10,53,+1 Lap,pironi,tyrrell,,,,,,,,1979,11
4,8,8,0,11,53,+1 Lap,daly,tyrrell,,,,,,,,1979,11
7,9,9,0,16,53,+1 Lap,watson,mclaren,,,,,,,,1979,11
8,10,10,0,14,53,+1 Lap,tambay,mclaren,,,,,,,,1979,11
5,11,R,0,4,45,Engine,lauda,brabham-alfa_romeo,,,,,,,,1979,11
22,12,R,0,24,42,Suspension,gaillard,ensign,,,,,,,,1979,11
29,13,R,0,13,34,Suspension,patrese,arrows,,,,,,,,1979,11
18,14,R,0,22,34,Engine,angelis,shadow,,,,,,,,1979,11
6,15,R,0,7,32,Engine,piquet,brabham-alfa_romeo,,,,,,,,1979,11
9,16,R,0,18,28,Engine,stuck,ats,,,,,,,,1979,11
25,17,R,0,21,26,Engine,ickx,ligier,,,,,,,,1979,11
2,18,R,0,17,22,Handling,reutemann,team_lotus,,,,,,,,1979,11
