season,round,url,raceName,date,circuitId,time
2014,13,http://en.wikipedia.org/wiki/2014_Italian_Grand_Prix,Italian Grand Prix,2014-09-07,monza,12:00:00Z
2014,14,http://en.wikipedia.org/wiki/2014_Singapore_Grand_Prix,Singapore Grand Prix,2014-09-21,marina_bay,12:00:00Z
2014,15,http://en.wikipedia.org/wiki/2014_Japanese_Grand_Prix,Japanese Grand Prix,2014-10-05,suzuka,06:00:00Z
2014,16,http://en.wikipedia.org/wiki/2014_Russian_Grand_Prix,Russian Grand Prix,2014-10-12,sochi,11:00:00Z
2014,17,http://en.wikipedia.org/wiki/2014_United_States_Grand_Prix,United States Grand Prix,2014-11-02,americas,20:00:00Z
2014,18,http://en.wikipedia.org/wiki/2014_Brazilian_Grand_Prix,Brazilian Grand Prix,2014-11-09,interlagos,16:00:00Z
2014,19,http://en.wikipedia.org/wiki/2014_Abu_Dhabi_Grand_Prix,Abu Dhabi Grand Prix,2014-11-23,yas_marina,13:00:00Z
1950,1,http://en.wikipedia.org/wiki/1950_British_Grand_Prix,British Grand Prix,1950-05-13,silverstone,
1950,2,http://en.wikipedia.org/wiki/1950_Monaco_Grand_Prix,Monaco Grand Prix,1950-05-21,monaco,
1950,3,http://en.wikipedia.org/wiki/1950_Indianapolis_500,Indianapolis 500,1950-05-30,indianapolis,
